date,symbol,quantity,market_price
2016-06-06 00:00:00,601012.SH,13900.0,3.5477
2016-06-24 00:00:00,600084.SH,7200.0,6.26
2016-06-24 00:00:00,600829.SH,3600.0,12.8694
2016-06-24 00:00:00,601116.SH,4500.0,9.6689
2016-07-01 00:00:00,603088.SH,6800.0,6.4324
2016-07-01 00:00:00,603609.SH,3500.0,14.1364
2016-07-21 00:00:00,600104.SH,3000.0,15.338
2016-07-21 00:00:00,601009.SH,9600.0,4.6726
2016-07-21 00:00:00,603000.SH,2400.0,19.1289
2016-07-28 00:00:00,000703.SZ,10100.0,4.7775
2016-07-28 00:00:00,002204.SZ,11200.0,4.0033
2016-07-28 00:00:00,002725.SZ,3500.0,14.0139
2016-07-28 00:00:00,600595.SH,7900.0,5.5864
2016-08-22 00:00:00,000737.SZ,8000.0,5.4357
2016-08-22 00:00:00,000895.SZ,3300.0,14.3563
2016-10-17 00:00:00,600596.SH,8600.0,5.036
2016-10-28 00:00:00,600998.SH,6900.0,6.5142
2016-10-28 00:00:00,603018.SH,5900.0,7.5845
2016-11-11 00:00:00,300125.SZ,4300.0,11.3021
2016-11-14 00:00:00,601001.SH,7200.0,6.266
2016-11-14 00:00:00,601678.SH,10200.0,4.3141
2016-11-14 00:00:00,603123.SH,4200.0,10.1659
2016-11-23 00:00:00,600295.SH,13900.0,3.4636
2016-11-23 00:00:00,600976.SH,1400.0,28.8594
2016-11-29 00:00:00,000035.SZ,5600.0,7.8203
2016-11-29 00:00:00,600505.SH,4400.0,10.6647
2016-11-29 00:00:00,600528.SH,3300.0,13.6919
2016-11-29 00:00:00,601015.SH,8100.0,5.8088
2016-11-29 00:00:00,603688.SH,5600.0,8.694
2016-12-01 00:00:00,603366.SH,4600.0,9.4957
2016-12-15 00:00:00,600691.SH,11800.0,3.69
2016-12-29 00:00:00,600136.SH,1200.0,16.3456
2017-02-10 00:00:00,600059.SH,4300.0,10.0442
2017-02-22 00:00:00,000528.SZ,7700.0,5.7412
2017-04-11 00:00:00,000897.SZ,7100.0,6.6744
2017-04-14 00:00:00,600684.SH,5600.0,7.6844
2017-04-26 00:00:00,002379.SZ,8500.0,5.8645
2017-08-23 00:00:00,002312.SZ,3700.0,5.3177
2017-08-23 00:00:00,600818.SH,900.0,21.7263
2017-08-23 00:00:00,603618.SH,2200.0,8.8051
2017-09-06 00:00:00,000552.SZ,13400.0,3.245
2017-09-20 00:00:00,002312.SZ,6700.0,6.4753
2017-09-26 00:00:00,300402.SZ,1200.0,15.7256
2017-11-22 00:00:00,002569.SZ,400.0,48.35
2017-11-22 00:00:00,300423.SZ,2000.0,9.7343
2017-11-30 00:00:00,002351.SZ,3600.0,5.5097
2017-11-30 00:00:00,002519.SZ,3200.0,6.2292
2017-11-30 00:00:00,002796.SZ,1400.0,13.5815
2017-11-30 00:00:00,002801.SZ,1200.0,16.0046
2017-11-30 00:00:00,300589.SZ,2500.0,7.8262
2017-11-30 00:00:00,600130.SH,3600.0,5.48
2017-11-30 00:00:00,600714.SH,2100.0,9.4972
2017-11-30 00:00:00,603158.SH,2300.0,8.6098
2017-11-30 00:00:00,603300.SH,5500.0,3.6043
2017-11-30 00:00:00,603319.SH,2400.0,8.233
2017-11-30 00:00:00,603958.SH,1300.0,14.5763
2017-12-05 00:00:00,002314.SZ,3600.0,5.5382
2017-12-05 00:00:00,002467.SZ,5000.0,3.967
2017-12-05 00:00:00,002487.SZ,4300.0,4.598
2017-12-05 00:00:00,002551.SZ,2200.0,8.8355
2017-12-05 00:00:00,002793.SZ,2200.0,8.7312
2017-12-05 00:00:00,300030.SZ,2300.0,8.3467
2017-12-05 00:00:00,300173.SZ,2300.0,8.5175
2017-12-05 00:00:00,300234.SZ,3600.0,5.5111
2017-12-05 00:00:00,300368.SZ,2300.0,8.4594
2017-12-05 00:00:00,300509.SZ,3400.0,5.8548
2017-12-05 00:00:00,300593.SZ,3800.0,5.21
2017-12-05 00:00:00,600158.SH,1900.0,10.0243
2017-12-05 00:00:00,600359.SH,3000.0,6.49
2017-12-05 00:00:00,600469.SH,3700.0,5.3737
2017-12-05 00:00:00,600543.SH,2100.0,9.1203
2017-12-05 00:00:00,600726.SH,6100.0,3.23
2017-12-05 00:00:00,600981.SH,3900.0,5.096
2017-12-05 00:00:00,601177.SH,2700.0,7.368
2017-12-05 00:00:00,601366.SH,2300.0,8.588
2017-12-05 00:00:00,603389.SH,1800.0,10.9037
2017-12-05 00:00:00,603421.SH,1200.0,16.5728
2017-12-05 00:00:00,603558.SH,2200.0,8.9402
2017-12-05 00:00:00,603585.SH,1200.0,15.9224
2017-12-05 00:00:00,603606.SH,3800.0,5.2013
2017-12-05 00:00:00,603615.SH,1700.0,11.2148
2017-12-05 00:00:00,603668.SH,1800.0,10.6477
2017-12-05 00:00:00,603738.SH,2500.0,7.8508
2017-12-05 00:00:00,603803.SH,1100.0,16.8331
